# submitted_item	validated_id	current_symbol
Q9VU31	FBgn0036330	CG11263
Q8IPI7	unknown ID	-
Q9VU35	FBgn0036334	CG11267
Q9VU37	FBgn0036336	ste14
Q9VU46	FBgn0036342	CG11279
Q9W3C8	FBgn0030056	CAH3
Q7JZB4	FBgn0037279	CG1129
Q9VP06	FBgn0037108	Alg11
Q9VP51	FBgn0037070	CG11309
Q8IGP0	FBgn0039800	Npc2g
Q8IMH5	FBgn0039801	Npc2h
Q9VMA0	FBgn0031848	Nse1
Q9V9X4	FBgn0039849	CG11334
A8JRH9	unknown ID	-
Q5U1D1	FBgn0039846	PNPase
Q9VZJ9	FBgn0035483	Mul1
Q9VZJ3	FBgn0263832	Rcd5
Q9VPI9	FBgn0031216	Zir
Q9VPJ0	FBgn0031217	CG11377
Q7K533	FBgn0034200	Gbp2
Q9VPB6	FBgn0037022	CG11396
Q8IGC8	FBgn0035298	SCOT
Q95RC0-3	unknown ID	-
Q8IGT4	FBgn0035024	CG11414
Q9V831	FBgn0034231	APC10
Q8STI6	FBgn0037504	CG1142
Q9W4J4	FBgn0029715	CG11444
Q9VDT6	FBgn0038737	CG11447
Q86NX6	FBgn0034688	CG11474
Q7KV83	FBgn0035397	PAN3
Q9VPL5	FBgn0031233	Tbc1d15-17
Q7KV72	unknown ID	-
Q8IRD5	FBgn0035437	Strip
Q9VTT9	FBgn0046296	DEF8
Q8SXU0	FBgn0086856	CG11555
Q9VPN3	FBgn0031247	CG11562
Q8MZ24	FBgn0039868	CG11563
Q8MR35	FBgn0051998	CG31998
Q95S24	FBgn0036847	CNPYb
Q9VZE6	FBgn0035524	CG11583
Q9VZF0	FBgn0035520	CG11586
Q95TV5	FBgn0036212	CG11597
Q59E06	FBgn0037313	CG1161
Q9VTM2	FBgn0036194	Dph1
Q9VXV4	FBgn0030638	CG11655
Q9VTL5	FBgn0036187	RIOK1
Q7JWI7	FBgn0033028	hrm
Q9VY49	FBgn0030551	CG11674
Q9VXQ8	FBgn0030678	CG11679
Q8T921	FBgn0031115	CG11710
Q9VH39	FBgn0037777	CG11722
Q8MT90	unknown ID	-
Q9VHQ5	FBgn0037592	CG11737
Q9VN13	FBgn0037239	Sfxn1-3
Q9VYZ8	FBgn0287454	Pa1
Q9VZ01	FBgn0030292	CG11752
Q9VHP1	FBgn0037603	CG11753
Q9VC06	FBgn0039252	CG11771
Q8MKJ6	FBgn0033527	CG11777
Q8IHE3	FBgn0038683	CG11779
Q8MS26	FBgn0039259	EMC6
Q7JVI6	FBgn0033381	GstE13
Q4V3Z5	FBgn0034495	CG11788
Q8IMU2	FBgn0039265	CG11790
Q9VTB3	FBgn0036099	CG11811
Q9W060	FBgn0265988	mv
Q7JW46	FBgn0033519	CG11825
Q9VAQ5	FBgn0039627	CG11837
Q9VBY5	FBgn0039271	CG11839
Q960D3	FBgn0046214	vig2
Q9VBV8	FBgn0039293	Alg9
B7Z0Q3	unknown ID	-
Q9VBU6	FBgn0039303	CG11857
Q9VBU4	FBgn0039305	CG11858
Q9VBU2	FBgn0039306	RIOK2
Q9VAP8	FBgn0039634	alpha-Man-Ib
Q9VBU8	FBgn0039301	Nup37
Q7K5K3	FBgn0039635	Pdhb
Q9VAP3	FBgn0039637	Ctl2
Q8IGF4	FBgn0039642	CG11882
A8DY95	FBgn0033538	CG11883
Q9VPP7	FBgn0031253	CG11885
Q961D3	FBgn0039644	rdog
Q9VAN0	FBgn0014427	CG11899
Q9VBR6	FBgn0261575	tobi
Q95SD3	FBgn0039274	CG11920
Q8MRZ0	FBgn0031640	Mon1
Q3YMV0	unknown ID	-
Q95U38	FBgn0037643	ScsbetaA
Q9VHJ7	FBgn0037644	CG11964
Q9VHJ4	FBgn0037647	RagA-B
Q9VHJ2	FBgn0037648	CG11975
Q8INP8	FBgn0037652	CG11980
Q9VHI7	FBgn0037653	Iru
Q0KI99	unknown ID	-
Q9VHI4	FBgn0040534	Sf3b5
Q9VHI3	FBgn0037656	CG11986
Q9VNA3	FBgn0037312	CG11999
Q9VN45	FBgn0037265	spartin
A1A714	FBgn0035236	CG12004
Q9VZM5-1	unknown ID	-
Q9VN77	FBgn0037293	CG12007
Q8IRD1	FBgn0035443	CG12010
Q9W088	FBgn0027903	Pol31
Q9W068	FBgn0262624	Tmhs
Q9W0P5	FBgn0035147	Gale
Q7K130	FBgn0033206	DCTN4-p62
Q95RG7	FBgn0284251	l(2)05287
Q9VIG1	FBgn0284251	l(2)05287
Q9W376	FBgn0030099	CG12056
Q8MRM6	FBgn0030052	CG12065
Q9VAH3	FBgn0262112	sro
Q9VZU4	FBgn0266582	ND-30
Q9VZU7	FBgn0035402	Usp5
Q9W0E8	FBgn0043458	CG12084
Q8IRG8	FBgn0035227	Iml1
Q9W0E2	FBgn0035228	CG12091
Q8MR28	FBgn0035372	CG12093
Q7K0M3	unknown ID	-
Q8IH72	FBgn0030100	CG12106
Q9W366	FBgn0030109	CG12121
Q9W3F5	FBgn0030039	CG12123
Q9W363	FBgn0260789	mxc
Q95S64	unknown ID	-
A1Z830	FBgn0033473	CG12128
Q7JW66	FBgn0033475	CG12129
B7YZR2	unknown ID	-
Q7JRI4	FBgn0033471	CG12134
Q7JWF1	FBgn0286783	Etf-QO
A1Z765	FBgn0033232	CG12159
Q8IPQ6	FBgn0037329	POLDIP2
Q9VN93-1	unknown ID	-
Q8T3H9	FBgn0051550	CG31550
